PAR-01,18:04:48.79,-29:40:31.1
PAR-02,17:57:23.14,-28:46:32.0
PAR-03,18:08:0.42,-26:39:15.4
PAR-04,17:46:25.67,-22:51:37.3
PAR-05,17:46:35.45,-33:46:19.8
PAR-06,18:03:52.40,-27:54:1.3
PAR-07,17:55:59.44,-29:38:28.8
PAR-08,17:47:34.77,-34:25:50.3
PAR-09,17:54:11.82,-31:31:57.9
PAR-10,17:54:4.49,-32:40:38.2
PAR-11,18:07:33.38,-29:20:16.2
PAR-12,17:42:58.78,-34:11:13.2
PAR-13,17:35:55.95,-27:16:2.1
PAR-14,17:53:28.47,-29:57:44.7
PAR-15,17:58:27.13,-27:26:0.9
PAR-16,17:54:55.05,-31:00:40.5
PAR-17,18:06:6.30,-25:59:12.8
PAR-18,17:56:7.08,-28:41:37.3
PAR-19,17:51:48.90,-29:17:52.9
PAR-20,18:06:59.34,-29:23:39.7
PAR-21,17:50:4.59,-34:58:15.3
PAR-22,18:00:20.30,-32:15:11.3
PAR-23,18:02:53.14,-27:41:15.7
PAR-24,18:09:13.92,-27:12:12.6
PAR-25,18:11:29.35,-25:38:24.0
PAR-26,17:47:27.03,-33:58:8.4
PAR-27,18:04:45.71,-26:59:15.3
PAR-28,18:07:41.45,-29:42:39.1
PAR-29,18:08:46.04,-28:12:34.6
PAR-30,17:59:44.30,-29:41:7.3
PAR-31,18:02:41.84,-32:04:39.6
PAR-32,17:53:55.65,-29:22:41.1
PAR-33,18:04:4.02,-28:38:38.8
PAR-34,17:51:38.96,-30:32:16.9
PAR-35,17:35:25.94,-23:31:0.7
PAR-36,18:06:21.76,-28:44:46.3
PAR-37,17:53:16.57,-28:58:49.8
PAR-38,17:51:25.67,-32:38:6.1
PAR-39,17:53:34.61,-31:01:12.3
PAR-40,17:57:54.73,-32:25:31.9
PAR-41,18:07:8.81,-27:59:22.5
PAR-42,17:56:59.79,-33:55:15.6
PAR-43,17:58:30.91,-30:34:7.6
PAR-44,17:51:21.97,-30:41:1.2
PAR-45,18:05:51.80,-27:52:23.3
PAR-46,17:55:5.17,-32:28:51.4
PAR-47,17:51:21.96,-30:41:1.2
PAR-48,18:07:8.11,-29:39:34.0
PAR-49,18:05:34.74,-30:44:20.2
PAR-50,18:08:41.73,-27:49:14.9
PAR-51,18:06:34.67,-26:01:16.0
PAR-52,18:07:5.68,-26:36:33.1
PAR-53,17:54:5.53,-29:23:11.0
PAR-54,17:58:29.56,-29:30:54.3
PAR-55,17:45:11.29,-33:38:55.2
PAR-56,17:52:23.34,-32:37:57.9
PAR-57,18:05:24.43,-26:25:18.8
PAR-58,17:57:58.60,-29:48:48.4
PAR-59,17:49:44.34,-29:28:34.3
