name,parallax,parallaxPath,xallarap,xallarapPath,better,deltaChi
PAR-01-noaver.dat,9280.1093,../sim27_12/parallax/PAR-01-noaver.dat-.OUT,4703.8701,../sim27_12/xallarap/PAR-01-noaver.dat.10.OUT,xallarap,4576.2392
PAR-02-noaver.dat,8197.9655,../sim27_12/parallax/PAR-02-noaver.dat-.OUT,8190.1322,../sim27_12/xallarap/PAR-02-noaver.dat.10.OUT,parallax,7.833300000000236
PAR-03-noaver.dat,10628.1631,../sim27_12/parallax/PAR-03-noaver.dat+.OUT,4420.1654,../sim27_12/xallarap/PAR-03-noaver.dat.8.OUT,xallarap,6207.9977
PAR-04-noaver.dat,1980.0769,../sim27_12/parallax/PAR-04-noaver.dat+.OUT,1370.488,../sim27_12/xallarap/PAR-04-noaver.dat.8.OUT,xallarap,609.5889
PAR-05-noaver.dat,2636.172,../sim27_12/parallax/PAR-05-noaver.dat-.OUT,2437.1445,../sim27_12/xallarap/PAR-05-noaver.dat.10.OUT,xallarap,199.02750000000015
PAR-06-noaver.dat,5132.2247,../sim27_12/parallax/PAR-06-noaver.dat+.OUT,4588.2214,../sim27_12/xallarap/PAR-06-noaver.dat.10.OUT,xallarap,544.0032999999994
PAR-07-noaver.dat,4892.6832,../sim27_12/parallax/PAR-07-noaver.dat+.OUT,4822.1641,../sim27_12/xallarap/PAR-07-noaver.dat.9.OUT,parallax,70.51910000000044
PAR-08-noaver.dat,1444.795,../sim27_12/parallax/PAR-08-noaver.dat-.OUT,1371.8383,../sim27_12/xallarap/PAR-08-noaver.dat.10.OUT,parallax,72.95670000000018
PAR-09-noaver.dat,2961.7623,../sim27_12/parallax/PAR-09-noaver.dat+.OUT,2927.2399,../sim27_12/xallarap/PAR-09-noaver.dat.9.OUT,parallax,34.522399999999834
PAR-10-noaver.dat,1840.1276,../sim27_12/parallax/PAR-10-noaver.dat+.OUT,1838.325,../sim27_12/xallarap/PAR-10-noaver.dat.7.OUT,parallax,1.802599999999984
PAR-11-noaver.dat,1156.6139,../sim27_12/parallax/PAR-11-noaver.dat-.OUT,1139.7932,../sim27_12/xallarap/PAR-11-noaver.dat.2.OUT,parallax,16.820699999999988
PAR-12-noaver.dat,960.7567,../sim27_12/parallax/PAR-12-noaver.dat-.OUT,928.2976,../sim27_12/xallarap/PAR-12-noaver.dat.10.OUT,parallax,32.459100000000035
PAR-13-noaver.dat,650.9961,../sim27_12/parallax/PAR-13-noaver.dat-.OUT,632.6552,../sim27_12/xallarap/PAR-13-noaver.dat.7.OUT,parallax,18.34089999999992
PAR-14-noaver.dat,7570.6274,../sim27_12/parallax/PAR-14-noaver.dat+.OUT,6274.6272,../sim27_12/xallarap/PAR-14-noaver.dat.8.OUT,xallarap,1296.0002000000004
PAR-15-noaver.dat,1780.4276,../sim27_12/parallax/PAR-15-noaver.dat+.OUT,1755.9481,../sim27_12/xallarap/PAR-15-noaver.dat.7.OUT,parallax,24.479499999999916
PAR-16-noaver.dat,2812.9664,../sim27_12/parallax/PAR-16-noaver.dat+.OUT,2795.7867,../sim27_12/xallarap/PAR-16-noaver.dat.10.OUT,parallax,17.179699999999684
PAR-17-noaver.dat,1902.1516,../sim27_12/parallax/PAR-17-noaver.dat-.OUT,1899.0368,../sim27_12/xallarap/PAR-17-noaver.dat.8.OUT,parallax,3.114799999999832
PAR-18-noaver.dat,11876.3691,../sim27_12/parallax/PAR-18-noaver.dat-.OUT,11849.5336,../sim27_12/xallarap/PAR-18-noaver.dat.9.OUT,parallax,26.83549999999923
PAR-19-noaver.dat,2769.8925,../sim27_12/parallax/PAR-19-noaver.dat+.OUT,2541.9466,../sim27_12/xallarap/PAR-19-noaver.dat.9.OUT,xallarap,227.9458999999997
PAR-20-noaver.dat,1364.6112,../sim27_12/parallax/PAR-20-noaver.dat-.OUT,1380.5916,../sim27_12/xallarap/PAR-20-noaver.dat.4.OUT,parallax,-15.980399999999918
PAR-21-noaver.dat,1179.9665,../sim27_12/parallax/PAR-21-noaver.dat+.OUT,1169.9353,../sim27_12/xallarap/PAR-21-noaver.dat.6.OUT,parallax,10.031199999999899
PAR-22-noaver.dat,460.844,../sim27_12/parallax/PAR-22-noaver.dat+.OUT,457.7606,../sim27_12/xallarap/PAR-22-noaver.dat.5.OUT,parallax,3.0833999999999833
PAR-23-noaver.dat,2186.179,../sim27_12/parallax/PAR-23-noaver.dat-.OUT,2179.2013,../sim27_12/xallarap/PAR-23-noaver.dat.9.OUT,parallax,6.977699999999913
PAR-24-noaver.dat,2313.3958,../sim27_12/parallax/PAR-24-noaver.dat+.OUT,2079.2366,../sim27_12/xallarap/PAR-24-noaver.dat.5.OUT,xallarap,234.1591999999996
PAR-25-noaver.dat,756.4628,../sim27_12/parallax/PAR-25-noaver.dat+.OUT,748.3594,../sim27_12/xallarap/PAR-25-noaver.dat.5.OUT,parallax,8.103399999999965
PAR-26-noaver.dat,1335.9588,../sim27_12/parallax/PAR-26-noaver.dat+.OUT,1329.5478,../sim27_12/xallarap/PAR-26-noaver.dat.6.OUT,parallax,6.411000000000058
PAR-27-noaver.dat,941.3132,../sim27_12/parallax/PAR-27-noaver.dat+.OUT,919.7172,../sim27_12/xallarap/PAR-27-noaver.dat.10.OUT,parallax,21.596000000000004
PAR-28-noaver.dat,1663.9262,../sim27_12/parallax/PAR-28-noaver.dat-.OUT,1613.7498,../sim27_12/xallarap/PAR-28-noaver.dat.5.OUT,parallax,50.17640000000006
PAR-29-noaver.dat,1217.1043,../sim27_12/parallax/PAR-29-noaver.dat-.OUT,1205.2938,../sim27_12/xallarap/PAR-29-noaver.dat.7.OUT,parallax,11.810500000000047
PAR-30-noaver.dat,1018.1146,../sim27_12/parallax/PAR-30-noaver.dat-.OUT,1018.3178,../sim27_12/xallarap/PAR-30-noaver.dat.10.OUT,parallax,-0.20320000000003802
PAR-31-noaver.dat,482.7052,../sim27_12/parallax/PAR-31-noaver.dat-.OUT,486.4452,../sim27_12/xallarap/PAR-31-noaver.dat.6.OUT,parallax,-3.740000000000009
PAR-32-noaver.dat,2333.4095,../sim27_12/parallax/PAR-32-noaver.dat-.OUT,2298.7124,../sim27_12/xallarap/PAR-32-noaver.dat.9.OUT,parallax,34.69710000000032
PAR-33-noaver.dat,4655.9204,../sim27_12/parallax/PAR-33-noaver.dat+.OUT,4619.6672,../sim27_12/xallarap/PAR-33-noaver.dat.8.OUT,parallax,36.253200000000106
PAR-34-noaver.dat,2296.2098,../sim27_12/parallax/PAR-34-noaver.dat+.OUT,2274.0989,../sim27_12/xallarap/PAR-34-noaver.dat.10.OUT,parallax,22.11090000000013
PAR-35-noaver.dat,659.6659,../sim27_12/parallax/PAR-35-noaver.dat-.OUT,511.1154,../sim27_12/xallarap/PAR-35-noaver.dat.9.OUT,xallarap,148.55049999999994
PAR-36-noaver.dat,14983.1135,../sim27_12/parallax/PAR-36-noaver.dat+.OUT,13933.0491,../sim27_12/xallarap/PAR-36-noaver.dat.9.OUT,xallarap,1050.0643999999993
PAR-37-noaver.dat,2122.3324,../sim27_12/parallax/PAR-37-noaver.dat-.OUT,2106.5111,../sim27_12/xallarap/PAR-37-noaver.dat.7.OUT,parallax,15.82129999999961
PAR-38-noaver.dat,1577.0318,../sim27_12/parallax/PAR-38-noaver.dat+.OUT,1563.8758,../sim27_12/xallarap/PAR-38-noaver.dat.9.OUT,parallax,13.155999999999949
PAR-39-noaver.dat,19958.1984,../sim27_12/parallax/PAR-39-noaver.dat-.OUT,15028.4546,../sim27_12/xallarap/PAR-39-noaver.dat.5.OUT,xallarap,4929.743800000002
PAR-40-noaver.dat,1445.1052,../sim27_12/parallax/PAR-40-noaver.dat-.OUT,1440.6366,../sim27_12/xallarap/PAR-40-noaver.dat.2.OUT,parallax,4.468599999999924
PAR-41-noaver.dat,2593.8395,../sim27_12/parallax/PAR-41-noaver.dat-.OUT,2587.483,../sim27_12/xallarap/PAR-41-noaver.dat.6.OUT,parallax,6.356499999999869
PAR-42-noaver.dat,861.1117,../sim27_12/parallax/PAR-42-noaver.dat-.OUT,855.9031,../sim27_12/xallarap/PAR-42-noaver.dat.9.OUT,parallax,5.208600000000047
PAR-43-noaver.dat,1658.5623,../sim27_12/parallax/PAR-43-noaver.dat-.OUT,1621.8006,../sim27_12/xallarap/PAR-43-noaver.dat.6.OUT,parallax,36.76170000000002
PAR-44-noaver.dat,2264.3343,../sim27_12/parallax/PAR-44-noaver.dat+.OUT,2198.2031,../sim27_12/xallarap/PAR-44-noaver.dat.3.OUT,parallax,66.13119999999981
PAR-45-noaver.dat,2996.3407,../sim27_12/parallax/PAR-45-noaver.dat+.OUT,2955.9472,../sim27_12/xallarap/PAR-45-noaver.dat.9.OUT,parallax,40.39350000000013
PAR-46-noaver.dat,1749.3415,../sim27_12/parallax/PAR-46-noaver.dat+.OUT,1731.5791,../sim27_12/xallarap/PAR-46-noaver.dat.3.OUT,parallax,17.76240000000007
PAR-47-noaver.dat,2497.8541,../sim27_12/parallax/PAR-47-noaver.dat+.OUT,2457.7196,../sim27_12/xallarap/PAR-47-noaver.dat.5.OUT,parallax,40.134500000000116
PAR-48-noaver.dat,1024.848,../sim27_12/parallax/PAR-48-noaver.dat+.OUT,1017.6466,../sim27_12/xallarap/PAR-48-noaver.dat.5.OUT,parallax,7.201399999999921
PAR-49-noaver.dat,2195.4323,../sim27_12/parallax/PAR-49-noaver.dat-.OUT,2187.858,../sim27_12/xallarap/PAR-49-noaver.dat.7.OUT,parallax,7.574299999999766
PAR-50-noaver.dat,4943.7741,../sim27_12/parallax/PAR-50-noaver.dat+.OUT,4823.5785,../sim27_12/xallarap/PAR-50-noaver.dat.9.OUT,xallarap,120.19560000000001
PAR-51-noaver.dat,1832.4022,../sim27_12/parallax/PAR-51-noaver.dat+.OUT,1826.479,../sim27_12/xallarap/PAR-51-noaver.dat.4.OUT,parallax,5.923199999999952
PAR-52-noaver.dat,1138.3036,../sim27_12/parallax/PAR-52-noaver.dat+.OUT,1094.7987,../sim27_12/xallarap/PAR-52-noaver.dat.6.OUT,parallax,43.50489999999991
PAR-53-noaver.dat,1686.2798,../sim27_12/parallax/PAR-53-noaver.dat-.OUT,1667.0491,../sim27_12/xallarap/PAR-53-noaver.dat.4.OUT,parallax,19.23070000000007
PAR-54-noaver.dat,1052.9306,../sim27_12/parallax/PAR-54-noaver.dat+.OUT,1051.3037,../sim27_12/xallarap/PAR-54-noaver.dat.4.OUT,parallax,1.6268999999999778
PAR-55-noaver.dat,1074.7797,../sim27_12/parallax/PAR-55-noaver.dat+.OUT,1073.3631,../sim27_12/xallarap/PAR-55-noaver.dat.4.OUT,parallax,1.4166000000000167
PAR-56-noaver.dat,3580.7471,../sim27_12/parallax/PAR-56-noaver.dat+.OUT,3596.6876,../sim27_12/xallarap/PAR-56-noaver.dat.7.OUT,parallax,-15.940500000000156
PAR-57-noaver.dat,85092.0372,../sim27_12/parallax/PAR-57-noaver.dat+.OUT,9006.0003,../sim27_12/xallarap/PAR-57-noaver.dat.10.OUT,xallarap,76086.0369
PAR-58-noaver.dat,1184.511,../sim27_12/parallax/PAR-58-noaver.dat+.OUT,1140.2101,../sim27_12/xallarap/PAR-58-noaver.dat.2.OUT,parallax,44.300899999999956
PAR-59-noaver.dat,2217.6464,../sim27_12/parallax/PAR-59-noaver.dat-.OUT,2178.9842,../sim27_12/xallarap/PAR-59-noaver.dat.8.OUT,parallax,38.66220000000021
